date,time,reporter_role,assigned_department,urgency,incident_description
2025-03-01,10:15 AM,Kitchen Supervisor,Dietary and Food Services,High,Walk-in chiller reading 7.6°C since 09:40; high ambient humidity this morning. Perishable milk and yogurt inside need temp recovery plan.
2025-03-01,10:15 AM,Nursing Sister - OPD,Security,Medium,"Unauthorized food vendor set up cart by Main Out Gate, drawing patient crowd and blocking ambulance path. Request Security to remove, document NIC if possible, and monitor gate for re-entry."
2025-03-02,01:05 PM,IT Officer,Facility Management,High,UPS room split AC not cooling; room temp at 33°C and inverters issuing high-temp alarm. Need immediate restoration or temporary cooling.
2025-03-02,03:05 PM,Medical Officer - ETU,Transport,High,Ambulance 04 AC failed mid transfer; septic patient overheating. Request immediate vehicle swap at the bay and crew support with cool packs.
2025-03-02,08:15 AM,OPD Receptionist,IT,High,OPD registration keeps timing out; NIC lookup via HIS API fails and tokens don’t print. Front-desk Wi-Fi drops in the heat.
2025-03-03,01:25 PM,Stores Keeper - Dry Goods,Dietary and Food Services,High,Water seeped under the dry-store door; bases of three rice sacks are wet. Request quarantine and supplier claim.
2025-03-03,02:15 PM,"Radiographer, MRI Suite",Biomedical Engineering,High,"Power dip triggered MRI chiller high-temp alarm; scanner in standby. Please check cooling loop, UPS logs, and restart protocol."
2025-03-03,02:45 PM,OPD Receptionist,Housekeeping Department,High,Heavy rain tracked mud inside OPD entrance; floor slippery. Need immediate mopping and wet-floor signs.
2025-03-03,03:25 PM,OPD Clerk,Security,High,"Afternoon thunderstorm drove a large crowd into OPD foyer; exits partially blocked and tempers flared. Need Security to marshal crowd, keep fire egress clear, and control entry screening."
2025-03-03,03:40 PM,"Staff Nurse, ETU",Biomedical Engineering,Critical,Defibrillator failed self-test after flicker; battery shows ‘replace’. Need battery verification and energy output check before night shift.
2025-03-03,04:05 PM,RMO Office Administrator,Human Resources,Critical,Credential audit flagged an on-duty radiographer with license expired on 28 Feb; rostered tonight. Need HR to verify renewal and stand down if not cleared.
2025-03-03,04:05 PM,"Staff Nurse, Ward 5B",Quality Assurance department,High,"During the thunderstorm, water leaked into the 5B corridor; a geriatric patient nearly slipped and no caution signage was placed for 20 minutes. Request QA-led safety audit and CAPA with Engineering."
2025-03-03,04:20 PM,Staff Nurse - Surgical Ward,Facility Management,High,"After the thunderstorm, roof leak above surgical corridor near Bed 14; steady drip causing slip hazard. Suspect flashing loosened by wind."
2025-03-03,04:55 PM,Senior House Officer - ETU,Reception,Critical,"During thunderstorm, ambulance ETA call rang twice without pickup on main switchboard; Reception must alert ETU immediately and monitor backup line."
2025-03-03,05:10 PM,Endoscopy Nurse,Biomedical Engineering,High,Endoscopy stack lost power; ELCB tripped and moisture noted near socket. Request insulation/leakage tests and safe restoration.
2025-03-03,05:10 PM,Pharmacy Manager,Finance and Account,High,Agrahara claims for six OPD prescriptions bounced due to drug code mismatch after the HIS update. Need Finance claims team to correct and resubmit before month-end.
2025-03-03,05:30 PM,Medical Laboratory Technologist (Haematology),Quality Assurance department,Critical,"Power dip in the storm interrupted morning IQC, yet 14 CBC reports were released without documented daily QC. QA intervention needed for nonconformance handling and clinician notification protocol."
2025-03-03,05:45 PM,Physiotherapist - Ward 5,Transport,High,After the thunder shower the ETU ramp is slick; stretcher wheels skidding. Need anti-slip mats and two porters immediately for safe transfer.
2025-03-03,06:05 PM,Security Supervisor,Facility Management,Critical,OPD entrance canopy fascia panel is loose and vibrating in gusts; may detach onto public walkway. Request urgent securing or removal.
2025-03-03,06:10 PM,Security Supervisor - Main Gate,Reception,Medium,Rain crowding caused visitors to queue into driveway; please open side entrance and deploy reception staff to redirect clinics.
2025-03-03,06:15 PM,Stores Supervisor,Supply Department,High,"Evening thunderstorm caused seepage in Receiving; four cartons of sterile gauze got wet. Please quarantine, arrange vendor replacement, and document as damaged on GRN."
2025-03-03,06:20 PM,"Duty Medical Officer, ETU",IT,Critical,EHR in ETU froze mid-triage; vitals and allergy fields won’t save after the thunder. Suspect database lock or replication lag.
2025-03-03,07:20 PM,Surgical Ward Nurse,Housekeeping Department,Medium,Rain seeped into corridor by Ward 6; bin liners wet and labels smudged. Replace liners and sanitize area.
2025-03-03,07:35 PM,Cashier - Private Wing,Finance and Account,High,Thunderstorm caused a power dip; POS captured 11 card payments but HIS didn’t post them. Please reconcile and confirm settlement before tonight’s bank batch.
2025-03-03,07:40 PM,Biomedical Engineer,Security,Medium,CCTV feeds for Maternity corridor intermittently dropped during lightning; possible surge. Please dispatch Security to physically patrol corridor and coordinate access control until cameras are stable.
2025-03-03,07:40 PM,Theatre Matron,Supply Department,Critical,Spinal needles 25G are back-ordered; three spinal cases start 07:30 tomorrow. Need alternate supplier approval tonight or inter-ward transfer.
2025-03-03,10:42 AM,Radiographer - CT,IT,High,CT console shows empty PACS worklist; HL7 ADT feed appears delayed. Please restart interface services.
2025-03-03,11:20 AM,Secretary to Nursing Superintendent,Human Resources,Medium,"Shortlisted staff nurse missed 10:00 interview due to sudden downpour and flooded bus route. Please treat as weather-affected and reschedule, not a no-show."
2025-03-03,11:20 AM,Sister-in-Charge - ETU,Transport,Critical,Private cars blocking ambulance dock. Please send transport supervisor to clear bay and place cones; code blue ambulance due in 5 minutes.
2025-03-03,12:55 PM,Ward Sister - Orthopaedics,Dietary and Food Services,Medium,Lunch trays reached 35 minutes late due to rain; two diabetic patients received regular rice from ward fallback. Need immediate replacement with diabetic portions.
2025-03-04,04:40 PM,Cafeteria Manager,Dietary and Food Services,Medium,Chicken short-eats at staff canteen lacked visible Halal certification; Muslim staff objected. Need vendor verification and signage.
2025-03-04,09:05 AM,Pharmacy Dispenser (Inpatient),IT,Medium,Inpatient Pharmacy barcode scanner reads but item codes not mapping post last night’s patch; Inventory posting fails and queue grows.
2025-03-04,09:10 AM,Consultant Paediatrician,Reception,Medium,Channelling counter issued duplicate token 34A to two children; Reception to reconcile order and announce correction to parents.
2025-03-04,11:05 AM,Infection Control Nurse,Housekeeping Department,High,Dengue-suspect room vacated. Please do terminal clean with chlorine as per IC protocol.
2025-03-05,02:35 PM,ICU Nurse,Supply Department,Critical,Propofol 1% vials: only 18 left after two ventilated admissions. Please rush top-up now and confirm reorder under existing rate.
2025-03-05,02:40 PM,Training Coordinator,Human Resources,Medium,Induction session in non-AC hall halted as two trainees became dizzy in the afternoon heat. Please move tomorrow’s batch to an AC venue and adjust attendance.
2025-03-05,06:50 PM,Pharmacy In-Charge,Housekeeping Department,Medium,Lobby at OPD pharmacy damp from umbrellas after showers. Request continuous mopping and mats.
2025-03-05,06:50 PM,ETU Staff Nurse,Security,High,"Male attendant attempted to wheel out portable oxygen cylinder towards tuk-tuk during evening rain. Security needed to intercept, verify handover note, and log attempted removal."
2025-03-05,06:55 PM,Staff Nurse - Cardiac Ward,Dietary and Food Services,High,Low-salt diet soup tasted noticeably salty; BP-restricted patients returned portions. Please check recipe and batch salinity.
2025-03-05,07:20 PM,Duty Manager,Reception,Medium,Post-rain lobby mats soaked; slip risk increased. Reception to cordon area and guide visitors through pharmacy corridor until housekeeping replaces.
2025-03-05,07:35 PM,Anaesthetist - OT Complex,Transport,Critical,O-negative blood needed in OR 3. Current cooler lacks ice packs. Dispatch transport runner with validated cooler now.
2025-03-05,07:55 PM,Patient Relations Officer,Quality Assurance department,Medium,Rain blew into OPD entrance and soaked the complaint box; several forms are unreadable and timelines for response were breached. Request QA oversight to restore the patient feedback process and prevent recurrence.
2025-03-05,08:15 AM,Admission Coordinator,Reception,High,Agrahara beneficiary admission lacked initial insurance verification; Reception to obtain card and send pre-auth before bed allocation.
2025-03-05,08:30 AM,ICU Sister-in-Charge,Housekeeping Department,Critical,Red bag waste mixed with black bag in ICU sluice room. Immediate re-segregation and area disinfection needed.
2025-03-05,08:50 PM,Maintenance Attendant (Night),Facility Management,Critical,Basement near Radiology: stormwater sump pump tripped; 3–4 cm water pooling close to live cable trays.
2025-03-05,09:10 PM,Night Pharmacist,Supply Department,High,Earlier rains left 0.9% saline 1L cartons damp; outer boxes collapsing in pharmacy store. Request immediate replacement and plastic crates for future receipts.
2025-03-05,10:50 AM,Ward Nurse - Surgical,Finance and Account,High,Discharge bill shows private room rate instead of semi. Family is waiting—request Finance to reclassify bed charges and reissue the receipt.
2025-03-06,02:30 PM,"Nursing Sister, Surgical Ward 7",IT,High,Two new interns cannot order pre-op labs in CPOE; role profiles missing for Ward 7. Please provision urgently.
2025-03-06,03:10 PM,Sister-in-Charge - ICU,Facility Management,Critical,Chiller-2 high-pressure trip during heat peak; ICU AHUs showing 26–27°C supply. Need immediate restart and condenser cleaning.
2025-03-06,11:55 AM,Cold Chain Nurse (Immunization Clinic),Supply Department,High,"Very hot midday; vaccine fridge peaked at 7.1°C for 12 minutes. Need additional ice packs, replacement of affected lots if required, and guidance on stock rotation."
2025-03-07,02:20 PM,HR Officer,Finance and Account,Critical,March payroll preview misses ICU night allowance and OT for two shifts after roster import. Please rectify before the bank file upload.
2025-03-07,03:15 PM,Paediatric Staff Nurse,Housekeeping Department,Medium,ORS spill in paeds play corner; floor sticky and ants starting. Need quick clean and surface wipe.
2025-03-07,05:35 PM,Paediatric Ward Sister,Security,High,Extended family exceeding visiting hours refused to leave Paediatric Ward 2; father shouting at nurses. Request Security to de-escalate and enforce visiting time limits.
2025-03-07,09:10 AM,Senior Dietitian - Paediatric Renal,Dietary and Food Services,High,Low-potassium formula sachets stockout; only two packets left for Ward 9B. Urgent substitution protocol or emergency procurement.
2025-03-07,09:15 AM,Procurement Officer,Finance and Account,High,Linen supplier is holding delivery; last month’s invoice is unpaid pending WHT certificate. Need AP to issue WHT and release payment urgently.
2025-03-07,10:25 AM,Neonatal Nurse - NICU,Transport,High,Transport incubator shows 30% battery pre-transfer to CT. Require neonatal transfer trolley with spare battery and trained porter.
2025-03-07,11:05 AM,ICU Registrar,Reception,Medium,Switchboard repeatedly routed ICU enquiry to Paediatrics; Reception to update extension list and brief afternoon operator.
2025-03-07,11:10 AM,Infection Control Nurse,Quality Assurance department,Medium,Paediatric Ward hand hygiene dashboard not updated for 10 days; spot checks showed multiple noncompliance events. QA support needed to enforce the audit-feedback loop per MoH IPC guideline.
2025-03-08,01:10 PM,SCBU Nurse,Housekeeping Department,High,Short of clean infant gowns; laundry delayed after humid spell. Please expedite SCBU batch.
2025-03-08,02:20 PM,Ambulance Coordinator,Security,High,"During sudden downpour, a motorbike parked under Ambulance Bay canopy, obstructing offload zone. Need Security to clear vehicle and keep access lane free."
2025-03-08,02:25 PM,"Senior Medical Officer, Isolation Unit",Quality Assurance department,High,Negative-pressure in TB room fluctuated between 0 and -2 Pa during the afternoon storm; monitoring logs have gaps. Request QA to coordinate RCA and risk mitigation before next admission.
2025-03-08,02:35 PM,Food Safety Officer,Dietary and Food Services,Critical,Brief power dip blast chiller stopped mid-cycle for cooked fish. Core temps remained above 10°C for 25 min; HACCP corrective action needed.
2025-03-08,02:40 PM,Lab Manager - Microbiology,Transport,High,Storm building; external courier stuck. Please dispatch hospital vehicle to carry urgent cultures to reference lab with chain-of-custody forms.
2025-03-08,03:30 PM,ICU Sister-in-Charge,Human Resources,High,BLS re-certification cancelled after lightning alert and heavy shower. Twelve ICU nurses need new dates this week to avoid competency lapses.
2025-03-08,03:35 PM,Outpatient Services Manager,Reception,High,Brief downpour closed parking gate; families crowded main doors. Reception to prioritize wheelchairs and create separate paediatric queue.
2025-03-08,04:20 PM,Ambulance Coordinator,Supply Department,Critical,Afternoon thunderstorm delayed oxygen cylinder vendor run; only two B-type left for transfers. Request emergency swap from wards and confirm vendor ETA.
2025-03-08,05:05 PM,Surgical Ward Sister,Supply Department,High,Sterile dressing packs lot 23C show humidity indicator pink in our cupboard. Please inspect central stock and replace affected boxes.
2025-03-08,05:20 PM,Kitchen Sanitation Lead,Dietary and Food Services,High,Flies near waste hatch by dishwash area; current fly screens not sealing. Risk to hygiene around plating line.
2025-03-08,05:35 PM,Admin Officer - Transport/Lifts,Facility Management,High,"Lift B went to fault after brief downpour; water observed at shaft head. Please check shaft flashing, pit pump, and controller."
2025-03-08,05:40 PM,Security Supervisor,Housekeeping Department,High,Stairwell B puddle after brief storm; no caution board. Need mop-up and signage immediately.
2025-03-08,05:55 PM,Pharmacy Dispenser,Human Resources,High,Supervisor shouted and refused my pre-approved casual leave for a family clinic visit; requesting HR mediation per grievance procedure.
2025-03-08,06:40 PM,"Registrar, SICU",Quality Assurance department,Medium,Look-alike medication near-miss not filed in the e-incident portal within 24 hours due to confusion with the new system. QA to retrain staff and ensure near-miss capture for trend analysis.
2025-03-08,07:10 PM,Maintenance Supervisor,IT,Medium,Basement corridor Wi-Fi keeps resetting; ceiling AP near oxygen plant cabinet loops. Need switch inspection.
2025-03-08,07:10 PM,OPD Pharmacist,Security,Medium,Patient reported wallet missing from pharmacy queue after rain crowding. Request Security to review CCTV around counters 3–5 and identify suspected pickpocket.
2025-03-08,07:20 PM,Radiology Registrar,Biomedical Engineering,High,Portable X-ray battery charger tripped ELCB post-rain; faint hot smell. Request isolation test on charger and cable before reuse.
2025-03-08,08:05 PM,Ambulance Driver - Unit 07,Transport,High,Wipers streaking and headlight fog after the downpour; visibility unsafe. Request swap to spare ambulance and schedule maintenance tonight.
2025-03-08,11:05 AM,NICU Staff Nurse,Biomedical Engineering,High,Incubator humidity sensor spiking to 95% after morning shower; alarms frequent. Please recalibrate sensor and check humidifier module.
2025-03-08,11:05 AM,Radiology MO,Finance and Account,High,One CT case got billed twice due to duplicate order entry. Kindly void the duplicate and adjust the insurer claim.
2025-03-08,12:55 PM,Laboratory Technologist - Haematology,IT,High,LIS interface stopped receiving CBC orders around the noon thunder; analyser idle; HIS-LIS channel shows ‘down’ in gateway.
2025-03-09,05:40 AM,Night Ward Clerk - Maternity,IT,Medium,Zebra label printer off the network; patient wristbands not printing; possible DHCP conflict since 05:00. Request fixed IP.
2025-03-09,06:50 AM,Health Care Assistant - Ward 3,Human Resources,Medium,"Duty roster gives me six consecutive night shifts, contrary to policy. Please review allocation and counsel the Sister-in-Charge."
2025-03-09,10:05 PM,Intern Medical Officer,Security,Medium,"After-hours escort requested from ETU to Doctors’ Quarters; group of men loitering near quarters fence, whistling. Please send two guards and clear the area."
2025-03-10,03:40 PM,Lab Supervisor,Finance and Account,Medium,Corporate client AR shows unapplied receipts for Feb (ABC Bank wellness camp). Please allocate against pending invoices to prevent dunning notices.
2025-03-10,04:50 PM,EMS Coordinator,Transport,High,Ambulance 06 TPMS alarm; spare tyre is bald. Need tyre change before night shift coverage begins.
2025-03-10,07:10 AM,Dialysis Unit In-Charge,Supply Department,Critical,"Heparin prefilled syringes (5,000 IU) not delivered with morning trolley; first session at 07:30. Need immediate dispatch to Dialysis."
2025-03-10,07:35 AM,Consultant Orthopaedic Surgeon,Quality Assurance department,High,Two theatre consent forms lacked a second patient identifier and a witness; cases were delayed. QA audit needed on consent completeness and reinforcement of WHO checklist practice.
2025-03-10,09:25 AM,Nursing Matron,Facility Management,High,NICU fire door not self-closing; door closer weak and latch misaligned. Fire compartmentation compliance at risk.
2025-03-10,10:25 AM,MO OPD,Housekeeping Department,Medium,OPD toilets require deep clean and restocking; strong odour noted during morning clinic.
2025-03-10,12:10 PM,Ward Clerk - 6B Medical,Dietary and Food Services,Medium,"On Poya day, a vegetarian-designated patient was served fish curry. Please ensure cultural diet flags print on tray cards."
2025-03-10,12:25 PM,Cashier - OPD,Reception,Medium,Passport details not captured at registration for foreign spouse; demographics need update before lab billing proceeds.
2025-03-11,01:15 PM,Consultant Paediatrician,IT,High,Archive viewer shows certificate expired when opening last year’s discharge summaries on ward round. Kindly renew and deploy.
2025-03-11,06:15 AM,Anaesthetics MO - Pre-op,Dietary and Food Services,High,Patient listed NPO from midnight was sent a tray with kiri bath and tea at 06:00. Diet order on system shows 'fasting'; request stop-gap check before breakfast dispatch.
2025-03-11,10:10 AM,Payroll Officer - Finance,Human Resources,High,Three new lab technologists lack EPF/ETF registration details in HRIS; March salary processing will fail. Need numbers and appointment letters urgently.
2025-03-12,01:15 PM,Housekeeping Supervisor,Quality Assurance department,High,"Due to rain, the waste yard flooded and yellow bags were temporarily placed near OPD with general waste; segregation and signage were noncompliant. Request QA investigation with IPC and retraining."
2025-03-12,01:40 PM,Theatre Sister,Facility Management,Critical,Main OT AHU prefilter DP reading 380 Pa (above limit); airflow low and temp/humidity drifting. Request filter change and belt check.
2025-03-12,03:50 PM,Biomedical Engineer,Supply Department,Medium,Received ECG electrodes with adhesive partly melted after heat/rain; pads clumping. Please place QC hold and supply alternate brand under current rate contract.
2025-03-12,04:10 PM,NICU Nurse-in-Charge,Security,Critical,"Code Pink triggered at SCBU when infant tag alarmed during thunder and power dip. Require Security to lock down exits, check CCTV at lifts, and verify matching BHT bands."
2025-03-12,05:40 PM,ETU Consultant,Reception,Critical,Incoming polytrauma alert reached reception first; please patch directly to ETU and time-stamp the call per protocol.
2025-03-12,06:10 PM,Theatre Scheduler - Orthopaedics,Transport,High,Lift 3 offline after rain. Emergency debridement patient stuck in Ward 8. Need alternate route and extra porters with slide board.
2025-03-12,06:35 PM,Staff Nurse - OT,Human Resources,High,Repeated verbal bullying by Theatre Manager during afternoon list; request formal inquiry and a neutral mediator.
2025-03-12,06:55 PM,Ward Clerk - Ward 3,Facility Management,High,Sluice room foul water backing up into floor drain after rain; strong odour entering ward. Possible check valve failure.
2025-03-12,08:05 PM,ETU Triage Nurse,Housekeeping Department,Critical,Small blood spill in ETU triage corridor. Need spill kit clean-up and area disinfection now.
2025-03-12,08:05 PM,"Medical Officer, Medical Ward",Quality Assurance department,High,Damp BHT pages caused an insulin order to be misread; dose was corrected after telephone verification. QA to review documentation legibility standards and protective sleeves for wet conditions.
2025-03-12,08:10 AM,Theatre Matron,Finance and Account,Critical,"Orthopaedic implant vendor will not release consignment until Rs. 940,000 from Feb cases is cleared; PO/GRN mismatch flagged. Request AP to resolve and pay today."
2025-03-12,08:25 AM,Cafeteria Cashier,Dietary and Food Services,High,Tea and coffee tasted earthy after last night’s rain; kitchen filter candles look due for change. Please switch to boiled-filtered service till resolved.
2025-03-12,08:25 AM,Sister-in-Charge - Obstetrics,Human Resources,Medium,Nurse starting maternity leave earlier due to complications; please confirm entitlement and revised start date as per latest MOH circular.
2025-03-12,08:25 PM,RMO (Casualty),Supply Department,Critical,ED is low on Ringer’s lactate; only 12 bags remaining amid dengue surge. Request urgent issue now and revision of par level.
2025-03-12,08:30 AM,Radiology Nurse - MRI,Transport,High,Bariatric patient (165 kg) for MRI; standard trolley too narrow. Request bariatric stretcher team with side rails.
2025-03-12,08:55 PM,ETU Medical Officer,Security,High,Intoxicated visitor demanding entry to resus bay became aggressive with staff. Security intervention required for de-escalation and removal from ETU entrance.
2025-03-12,09:00 AM,MO-OPD,Reception,High,OPD token display frozen during morning rush; Reception to switch to manual calls and maintain queue log.
2025-03-12,09:10 AM,"Nurse-in-Charge, Dialysis Unit",Biomedical Engineering,High,RO plant conductivity fluctuating since last night’s rain; HD sessions delayed. Need probe calibration and prefilter/carbon check.
2025-03-12,09:25 AM,Accounts Officer - Billing,IT,High,OPD billing stalls at payment capture; callback not posting to HIS; duplicate tokens visible. Please trace payment gateway logs.
2025-03-12,11:05 AM,Staff Nurse - Paediatrics,Dietary and Food Services,Critical,Tray for child with documented peanut allergy included unlabeled pol sambol prepared near peanut sambol. Intercepted before serving; need strict segregation and labels.
2025-03-12,12:25 PM,Consultant Anaesthetist (OT),Biomedical Engineering,Medium,Smoke evacuator trips mid-case after filter change in humid theatre. Please test PSU/earth leakage and certify for afternoon list.
2025-03-12,12:40 PM,Ward Sister - Isolation,Housekeeping Department,High,MRSA-contact room discharged. Request chlorine terminal cleaning and curtain change.
2025-03-12,12:55 PM,Insurance Desk Officer,Finance and Account,High,Agrahara portal is intermittently down; today’s OPD claims are queued offline. Please coordinate deadline tolerance and push the batch once stable.
2025-03-13,02:00 PM,Hospital Administrator (Procurement),Biomedical Engineering,Medium,Request BME technical evaluation of quotes for two anaesthesia monitors; need compatibility review with existing gas modules and network.
2025-03-13,02:50 PM,Radiology Charge Nurse,Reception,Low,Diabetic clinic signage missing; patients arriving at radiology. Reception to station volunteer at foyer to direct until signage replaced.
2025-03-13,03:45 PM,Nutrition Assistant - Stroke Unit,Dietary and Food Services,Medium,Dysphagia thickener tins (lot expiring 20/03) still in main store; wards may not use in time. Request FIFO enforcement and reallocation to high-use wards.
2025-03-13,04:50 PM,HR Executive,IT,Medium,Biometric attendance devices not syncing since yesterday; HRM not receiving logs. Payroll cutoff this week.
2025-03-13,06:30 PM,Consultant Physician - Medical Unit,Finance and Account,Medium,Private ward patient disputes ICU surcharge not supported on the BHT. Please audit and remove if not justified before discharge.
2025-03-13,11:05 AM,Maintenance Supervisor,Security,Medium,Fresh tool marks on generator yard padlock; a coil of copper cable missing. Request Security to review last night’s CCTV and increase patrols by Boiler House.
2025-03-13,11:30 AM,Hospital Administrator,Supply Department,High,Sterile glove tender lapsed yesterday; wards report size mismatches. Kindly arrange stop-gap procurement and issue the rate contract extension letter today.
2025-03-13,11:35 AM,Radiography Technologist,Housekeeping Department,Medium,Radiology waiting bins overflowing from morning rush; request collection and seat wipe-down.
2025-03-14,01:05 PM,Medical Officer - Surgical Ward 12,Transport,Medium,Two transfers to X-ray missed due to porter gap post-lunch. Request dedicated porter cover 1–3 PM and immediate move for #NOF case.
2025-03-14,10:20 AM,"Registrar, Microbiology",Quality Assurance department,Medium,Antimicrobial stewardship audit submission for March is pending after registrar rotation; DDD tracking has stalled. QA to enforce compliance with MoH AMS reporting and continuity planning.
2025-03-14,11:15 AM,Electrical Supervisor (On-call),Facility Management,High,Generator room ventilation fan not running; room ~38°C during standby test. Risk of overheating switchgear.
2025-03-15,06:20 AM,OT Sister,Housekeeping Department,High,Theatre cloth gowns returned slightly damp. Please re-dry and press before first list.
2025-03-15,07:05 AM,Surgical Clinic Coordinator,Reception,High,Morning clinic lists not printed at reception; need immediate printing and placement at channelling counters before 07:30.
2025-03-15,07:40 AM,Staff Nurse - OPD Admissions,Dietary and Food Services,High,Newly-admitted diabetic patient got sweetened tea with breakfast. Please ensure 'no-sugar beverages' default for DM flags at admission.
2025-03-15,07:50 AM,Stores In-Charge,Finance and Account,Medium,"OPD dressing clinic imprest (Rs. 15,000) is exhausted after the weekend. Request petty cash top-up to start morning sessions."
2025-03-15,08:00 PM,On-call Anaesthetist,IT,High,Theatre 2 PACS viewer blank; viewer plugin disabled after browser security policy change. Need exception to view pre-op echo.
2025-03-15,09:05 AM,OPD Medical Records Supervisor,Human Resources,Medium,Performance appraisal forms from OPD doctors pending; increments will be delayed. Please extend deadline and brief HODs.
2025-03-15,09:05 AM,Paediatric OPD MO,Supply Department,High,ORS nearly finished; only one carton found though bin card shows five. Suspect misposting. Request urgent issue and bin card reconciliation.
2025-03-15,09:30 AM,OPD Nursing Officer,Quality Assurance department,Medium,"OPD satisfaction kiosks have been offline since Friday and no paper fallback was arranged, so no feedback captured. QA support requested to restore KPI monitoring and implement downtime SOP."
2025-03-15,09:40 PM,Anaesthesia Registrar,Security,High,Request Security escort for transfer of controlled drug box from Theatre to ICU; corridor crowded with bystanders after visiting hours.
2025-03-16,01:15 PM,Medical Records Officer,Reception,Medium,Two paediatric follow-ups registered under parents’ BHT numbers; Reception to split visits and assign correct child records.
2025-03-16,01:50 PM,Matron - General Ward,Human Resources,Medium,Thunder and heavy rain disrupted the Safe Patient Handling training; half the staff couldn’t travel. Request an additional session or online alternative.
2025-03-16,02:10 PM,Pharmacy Manager,Supply Department,Medium,Heavy rain earlier; amoxicillin 500 mg received with water-damaged labels—batch unreadable. Place batch on hold and obtain credit note against GRN 5621.
2025-03-16,03:40 PM,Medical Records Officer (MRD),IT,Medium,MRD cannot generate ICD coding reports; report server timing out; outpatient clinic backlog forming.
2025-03-16,04:25 PM,Security Supervisor,Transport,High,Heavy rain pooling at ambulance bay; vehicles can’t reverse to dock. Please shift loading point to Side Gate B and place marshals.
2025-03-16,04:55 PM,Medical Registrar,Housekeeping Department,Critical,Leak at Medical Ward stair landing after storm; floor slick. Need urgent mop and cordon.
2025-03-16,05:10 PM,Senior Radiographer,Security,High,"Heavy rain leak near MRI control room; public entering to avoid wet corridor. Need Security to cordon area, restrict entry, and guide patients via alternate route."
2025-03-16,05:20 PM,PA to Medical Director,Human Resources,High,Background check documents for incoming ICU MO delayed by courier after downpour. Start date is 18th; need provisional clearance protocol.
2025-03-16,05:25 PM,Cashier - OPD,Finance and Account,High,Several thermal receipts blurred. Please reprint and note the exception for audit before EOD.
2025-03-16,06:30 PM,Catering Manager,Facility Management,Medium,Canteen roof drain blocked; water ponding and seeping into staff dining. Slippery floor despite signage.
2025-03-16,06:50 PM,CSSD Supervisor,Biomedical Engineering,High,"After heavy rain, main autoclave shows vacuum leak alarm; won’t reach setpoint. Please inspect door gasket, run leak test, and recalibrate."
2025-03-16,06:50 PM,"Medical Officer, ETU",Quality Assurance department,High,"Post-thunder surge, triage documentation was incomplete; three Priority 2 cases waited over 60 minutes without timestamps. QA to conduct process audit and refresher on local triage scale use."
2025-03-16,07:10 PM,Kitchen Supervisor,Dietary and Food Services,High,Condensation drip observed from evaporator in walk-in chiller after storm; two marinated chicken trays were uncovered beneath. Potential contamination—need discard and maintenance coordination.
2025-03-16,07:25 PM,Pharmacy Supervisor,Reception,Medium,Heavy rain and generator hum muffled PA; Reception please use handheld mic near pharmacy and guide queues.
2025-03-16,07:40 PM,Cath Lab Nurse,Transport,Critical,Link corridor floor wet; NSTEMI patient needs transfer. Send two porters and non-slip sheets immediately for safe move to Cath Lab.
2025-03-16,07:50 PM,Duty Medical Officer - Ward 7,Facility Management,Critical,"After heavy rain, B-Block electrical riser is damp; RCD feeding Ward 7 sockets tripped. Medication prep area without power."
2025-03-16,08:18 PM,Security Officer - Gate 1,IT,High,Evening rain triggered moisture alarm in Gate 1 cabinet; CCTV NVR offline and streams unavailable. Need PoE switch check and drying.
2025-03-16,08:20 PM,Ward Master - Ward 7,Security,Medium,Rear exit alarmed after brief power dip; relative attempted tailgating through crash door. Security needed to verify identity and reset alarm.
2025-03-16,08:35 PM,"MO, ETU",Biomedical Engineering,High,"Two portable suction machines cutting out; cords warm and filters damp after downpour. Need motor check, hose replacement, and PAT."
2025-03-16,09:20 PM,Labour Room Sister,Supply Department,Critical,"Oxytocin ampoules down to last tray, with inductions tonight. Need immediate supply from main store to Labour Room."
2025-03-16,09:30 PM,Pulmonology Medical Officer,Housekeeping Department,High,TB isolation bed vacated. Request terminal clean with approved disinfectant and UV cycle.
2025-03-16,11:35 AM,Biomedical Engineer,Finance and Account,Medium,Vendor invoice for ventilator PM has the wrong VAT rate. Need AP to correct the tax code and reprocess payment.
2025-03-16,12:20 PM,Senior Dietitian - Renal,Dietary and Food Services,Medium,"Due to midday rain, fish supplier delayed; kitchen substituted vegetable curry in renal lunches without notifying diet office, altering protein targets."
2025-03-17,02:05 PM,Ward Sister - 3rd Floor,Housekeeping Department,High,Yellow bags left in corridor >2 hours. Please remove immediately and sanitize floor area.
2025-03-17,04:30 PM,OT Matron,Reception,High,Unbadged visitors reached OT corridor during peak hours; Reception to reinstate visitor badge issuance and logbook check at foyer.
2025-03-17,05:55 AM,Night MO - ETU,Transport,High,Ambulance 12 radio battery dead while off-campus. Need spare radio issued urgently and temporary phone relay set up.
2025-03-17,09:40 AM,Ward Clerk - Maternity,Finance and Account,High,Final bill missed the maternity package discount on labs and scans. Kindly apply package rates and arrange a refund to the family.
2025-03-17,11:50 AM,Hospital Administrator,Security,Medium,"Individual livestreaming patients in OPD without consent; refused to stop when advised. Request Security to halt recording, obtain NIC, and accompany to Admin for note."
